Id,Hazard,T1_V1,T1_V2,T1_V3,T1_V4,T1_V5,T1_V6,T1_V7,T1_V8,T1_V9,T1_V10,T1_V11,T1_V12,T1_V13,T1_V14,T1_V15,T1_V16,T1_V17,T2_V1,T2_V2,T2_V3,T2_V4,T2_V5,T2_V6,T2_V7,T2_V8,T2_V9,T2_V10,T2_V11,T2_V12,T2_V13,T2_V14,T2_V15
1,1,15,3,2,N,B,N,B,B,D,7,B,B,15,1,A,B,N,36,11,N,10,B,2,37,1,11,6,Y,N,E,2,2
2,4,16,14,5,H,B,N,B,B,C,12,B,B,10,3,A,B,Y,78,10,Y,17,C,2,22,1,18,5,Y,Y,E,2,1
3,1,10,10,5,N,K,N,B,B,E,12,H,B,15,1,A,R,Y,71,21,Y,13,C,6,37,2,14,6,Y,Y,E,6,1
4,1,18,18,5,N,K,N,B,B,E,3,H,B,15,1,A,R,N,71,13,N,15,A,2,25,1,1,6,Y,N,C,2,6
5,1,13,19,5,N,H,N,B,B,E,7,H,B,10,1,A,J,N,75,10,Y,11,B,1,22,1,2,7,N,N,E,1,1
12,1,14,12,2,N,K,N,B,B,E,12,H,B,15,1,A,K,N,65,10,N,14,A,1,37,1,5,7,N,N,A,1,9
15,5,8,17,1,E,K,N,B,B,E,8,H,B,20,1,A,K,N,100,14,N,16,A,2,25,1,20,3,Y,N,D,2,11
19,1,14,20,4,E,K,N,B,B,E,3,I,B,15,1,D,R,N,83,13,Y,5,A,2,40,1,18,7,Y,N,E,3,2
21,1,8,2,2,W,C,N,D,B,D,8,B,B,5,1,A,D,N,20,12,Y,4,B,1,34,1,13,5,N,N,A,2,1
22,1,5,4,3,B,I,N,D,B,F,8,H,B,20,3,A,K,Y,88,7,N,14,A,4,40,1,6,3,Y,Y,E,4,1
23,7,4,7,5,N,C,Y,B,B,D,7,B,B,10,2,A,C,N,86,7,N,10,A,2,34,1,20,4,Y,N,C,3,5
24,15,18,15,4,N,H,Y,B,B,E,3,M,B,15,1,A,R,N,23,7,Y,5,B,2,34,1,1,2,Y,N,E,2,4
25,1,3,20,5,C,B,Y,B,B,D,3,L,B,15,1,A,B,Y,49,15,N,12,B,2,25,1,1,5,Y,Y,D,4,1
26,4,14,18,6,N,K,N,B,B,E,7,J,B,15,1,A,N,N,92,10,N,16,A,2,40,1,7,7,Y,N,D,2,11
31,14,11,23,2,N,K,N,B,B,E,3,H,B,20,1,A,K,N,41,11,N,15,A,1,40,1,18,3,Y,N,E,1,1
32,1,9,20,5,N,C,Y,B,B,D,7,B,B,10,1,A,E,N,33,10,Y,3,A,2,31,1,7,1,Y,N,E,2,1
33,1,3,7,5,H,C,Y,B,B,D,7,B,B,10,1,A,B,N,81,14,N,19,A,1,22,1,3,1,Y,N,C,1,5
39,1,4,6,4,N,K,N,B,B,E,2,J,B,10,2,A,R,N,81,8,N,9,A,2,40,1,4,4,N,N,D,4,4
41,4,3,13,4,C,H,Y,B,B,D,3,E,B,10,2,A,B,N,75,13,Y,3,A,2,40,1,19,3,Y,N,E,2,2
43,1,7,7,5,B,A,N,B,B,D,12,B,B,20,2,A,B,N,72,6,N,4,B,2,40,1,4,7,Y,N,E,2,1
44,4,11,18,5,N,C,N,B,B,D,8,A,B,15,1,A,I,N,77,16,N,3,B,2,40,1,16,4,Y,N,E,2,1
45,4,15,19,2,B,C,N,B,B,B,8,B,B,10,1,A,B,N,61,18,Y,18,A,2,31,1,20,5,Y,N,E,2,11
50,8,12,12,5,B,I,N,B,B,E,12,J,C,15,1,A,K,Y,38,15,N,13,A,2,37,1,2,6,Y,Y,E,4,4
58,16,9,5,2,N,K,N,B,B,E,8,M,B,15,3,A,K,N,18,14,N,13,A,2,25,1,21,6,Y,N,E,2,2
59,5,14,17,5,N,K,Y,B,B,E,3,H,B,10,1,A,R,Y,92,12,N,7,A,2,40,1,12,2,Y,Y,E,2,3
62,1,6,15,2,B,I,Y,B,B,E,8,J,B,10,3,A,K,N,23,7,Y,12,A,1,34,1,18,7,Y,N,E,1,6
63,6,9,21,2,B,I,Y,B,B,E,8,H,B,10,3,A,R,N,32,15,N,10,A,3,40,1,21,1,N,N,C,3,6
67,7,19,11,3,N,H,N,B,B,D,2,B,B,15,1,A,F,N,36,12,Y,12,C,3,25,1,1,7,Y,N,D,3,1
69,1,14,1,1,E,C,N,B,D,D,12,B,B,10,3,A,I,N,72,13,N,6,B,1,34,1,14,6,N,N,A,2,1
72,1,8,18,5,N,K,N,B,B,E,3,H,B,10,1,A,M,N,98,12,N,17,A,2,40,1,1,5,Y,N,E,2,6
73,1,4,7,5,B,I,N,B,B,E,7,H,B,10,2,A,R,Y,60,9,N,5,A,2,37,1,9,4,Y,Y,E,2,2
74,7,19,6,4,C,C,N,B,B,D,8,B,B,10,3,A,E,N,52,17,N,9,C,2,37,1,19,3,Y,N,D,3,1
77,5,12,12,2,W,I,Y,B,B,E,8,H,B,10,1,A,K,N,45,18,N,11,A,2,28,1,7,6,Y,N,E,3,5
79,1,7,12,4,N,B,N,B,B,D,8,A,D,5,1,C,H,N,57,10,Y,6,A,2,34,1,1,7,Y,N,D,2,3
84,6,3,8,6,B,H,N,D,B,E,8,H,B,10,2,H,K,N,7,8,Y,3,B,2,40,1,6,3,Y,N,C,2,1
88,4,7,15,2,B,A,Y,B,B,D,3,B,B,10,2,A,B,N,100,8,N,14,A,1,34,1,1,5,Y,N,E,1,5
