f0,f1,f2,f3,f4,f5,f6
16.99,1.01,0.9762701,-3.697815,0.62329465,0.5247604,7199.992
10.34,1.66,4.303787,7.715073,0.8869608,0.47386158,2466.1367
21.01,3.5,2.0552676,-6.4642844,0.61882615,1.6573945,2969.3691
23.68,3.31,0.89766365,1.3352543,0.13346148,1.2345539,1040.6653
24.59,3.61,-1.526904,-0.1964141,0.98058015,3.0863972,37.469975
25.29,4.71,2.9178822,-5.8404675,0.87178576,0.4337662,875.73895
8.77,2.0,-1.2482557,2.6163833,0.5027208,2.2783098,378.0476
26.88,3.12,7.83546,-0.85773164,0.92234796,1.4695333,3984.2747
15.04,1.96,9.273255,3.8589528,0.5413808,0.4422712,8297.295
14.78,3.23,-2.3311696,4.117521,0.92330605,0.9719764,294.15237
10.27,1.71,5.834501,10.816179,0.82989734,0.34047818,2798.3086
35.26,5.0,0.5778984,6.6826396,0.9682864,2.0746524,35304.227
15.42,1.57,1.3608912,-1.8459092,0.9197828,0.11926486,288.46524
18.43,3.0,8.511932,-1.1968958,0.036033817,0.23880856,31692.758
14.83,3.02,-8.579279,5.498298,0.17477201,0.20215693,199.3034
21.58,3.92,-8.257414,3.2763186,0.38913468,0.5158817,1148.1641
10.33,1.67,-9.595632,3.2006576,0.9521427,1.3674058,1072.4583
16.29,3.71,6.6523967,-8.084781,0.30002892,0.7484642,1122.1455
16.97,3.5,5.563135,-0.121630624,0.16046764,0.6687987,205.33524
20.65,3.35,7.400243,-3.6901546,0.8863047,0.000546114,336.17566
17.92,4.08,9.572367,1.399623,0.4463944,0.5540841,288.46088
20.29,2.75,5.9831715,-0.49075195,0.9078756,0.06566318,2108.9072
15.77,2.23,-0.77041274,4.5508947,0.16023047,0.2335137,2121.9065
39.42,7.58,5.6105833,1.586091,0.6611175,2.6940577,94078.86
19.82,3.18,-7.6345115,3.93164,0.44026375,0.24257895,17017.168
17.81,2.34,2.7984204,-2.3320954,0.07648677,1.9543087,395.56436
13.37,2.0,-7.132934,-4.7222314,0.69646317,1.6240104,2100.098
12.69,2.0,8.893378,-2.0502484,0.24739875,0.17333752,8056.5117
21.7,4.3,0.43696645,-0.08510207,0.039615523,0.93067354,1165.8475
19.65,3.0,-1.7067612,1.8957586,0.059944298,0.12291579,954.0507
9.55,1.45,-4.7088876,11.296545,0.061078537,1.3015422,1215.7906
18.35,2.5,5.484674,-0.21128576,0.90773296,1.0146267,6213.9575
15.06,3.0,-0.87699336,-4.779725,0.7398839,1.6709865,201.01086
20.69,2.45,1.3686789,-1.7299088,0.89806235,0.65274364,571.7267
17.78,3.27,-9.624204,-2.3179798,0.6725823,2.4634945,2809.7935
24.06,3.6,2.35271,2.4074073,0.5289399,0.05060821,2044.4706
16.31,2.0,2.2419145,-7.703985,0.30444637,0.346567,1770.7625
16.93,3.07,2.33868,0.31630996,0.99796224,1.2554507,523.42706
18.69,2.31,8.874962,0.7825327,0.36218905,0.5414725,7669.9976
31.27,5.0,3.636406,1.1609051,0.47064894,0.18989177,78255.664
16.04,2.24,-2.8098419,-2.9865804,0.37824517,0.11340472,2472.1191
17.46,2.54,-1.2593609,-1.1896087,0.97952694,1.7001239,745.1955
13.94,3.06,3.9526238,-7.1203046,0.17465839,0.64082605,4971.5186
9.68,1.32,-8.79549,-2.4665995,0.327988,2.1394775,373.05832
30.4,5.6,3.3353343,-2.7143073,0.6803487,1.3215901,244.84352
18.29,3.0,3.4127574,2.0802503,0.06320762,0.5271688,1171.0049
22.23,5.0,-5.792349,-5.780912,0.6072494,0.4676241,6.2614183
32.4,6.0,-7.421474,3.9059906,0.4776465,0.72492343,109.08193
28.55,2.05,-3.691433,7.4724226,0.28399998,2.1987653,546.79626
18.04,3.0,-2.7257845,-10.349925,0.23841327,1.3366611,73.201965
12.54,2.5,1.4039354,2.1312935,0.5145127,0.0051662866,139.03334
10.29,2.6,-1.2279698,3.38454,0.36792758,1.1846862,457.83246
34.81,5.2,9.767477,-3.187185,0.4565199,2.5195901,41.020397
9.94,1.56,-7.9591036,-1.9863591,0.3374774,1.2394472,486.80148
25.56,4.34,-5.822465,-0.6644029,0.9704937,0.1948061,375.95132
19.49,3.51,-6.7738094,-1.4889544,0.13343944,0.6607151,1153.7935
38.01,3.0,3.0621665,-1.5450648,0.096803956,0.15119042,11029.934
26.41,1.5,-4.934168,-8.380019,0.34339172,0.44471845,1548.4486
11.24,1.76,-0.67378455,5.7616577,0.5910269,2.7664802,1143.8146
48.27,6.73,-5.1114883,5.3980927,0.65917647,2.5679228,1337.9701
20.29,3.21,-6.820608,-4.066821,0.39725676,0.3324519,1728.1134
13.81,2.0,-7.792497,-7.332122,0.999278,0.41495657,143.52693
11.02,1.98,3.1265917,2.6053243,0.351893,0.916823,871.7035
18.29,3.76,-7.236341,-2.8789399,0.72140664,3.3021839,2033.4772
17.59,2.64,-6.0683527,0.7097658,0.6375827,0.15993561,70.70244
20.08,3.15,-2.6254966,-1.5966421,0.81305385,0.29694706,6193.811
16.45,2.47,6.4198647,3.4576938,0.9762257,2.0679624,9535.263
3.07,1.0,-8.057975,3.4737458,0.88979363,0.67706174,310.20953
20.23,2.01,6.7588983,-3.627987,0.76456195,2.2922497,676.7652
15.01,2.09,-8.078032,-6.9168196,0.6982485,0.20520282,189.3542
12.02,1.97,9.529189,-7.914692,0.33549818,0.7607166,4441.56
17.07,3.0,-0.62697595,3.0518968,0.14768557,0.3949253,131.30928
26.86,3.14,9.535222,-5.9442964,0.062636,0.3805909,702.78143
25.28,5.0,2.0969105,-2.5340817,0.24190171,0.5921748,196.79453
14.73,2.2,4.7852716,-2.9815702,0.4322815,0.5675326,1214.2823
10.51,1.25,-9.216244,-0.2628365,0.52199626,0.44215018,30.311934
17.92,3.08,-4.3438606,-9.681399,0.77308357,2.4647603,15567.2295
27.2,4.0,-7.596069,0.94389296,0.95874095,1.3158143,159.29967
22.76,3.0,-4.077196,2.619455,0.11732048,1.3002892,1236.1901
17.29,2.71,-7.625446,0.44211045,0.10700414,0.34236842,716.9126
19.44,3.0,-3.6403365,-1.5544308,0.58969474,0.8620616,238.83453
16.66,3.4,-1.7147402,0.48700082,0.74539804,1.5104048,185.75706
10.07,1.83,-8.71705,1.9952317,0.8481504,1.5876293,7135.211
32.68,5.0,3.8494425,-13.862964,0.9358321,0.42240345,383.262
15.98,2.03,1.3320291,9.779562,0.9834262,1.4734778,1886.2394
34.83,5.17,-4.69221,1.9504666,0.3998017,1.3314043,220.74457
13.03,2.0,0.46496108,-3.262043,0.38033518,0.15257615,300.55692
18.28,4.0,-8.12119,-1.9547669,0.14780867,2.0095086,2820.006
24.71,5.85,1.51893,2.468709,0.68493444,0.58218104,7050.24
21.16,3.0,8.585924,-0.5805197,0.65676194,0.6663309,772.2955
28.97,3.0,-3.6286209,-10.153422,0.8620626,0.5948762,63.825977
22.49,3.5,3.3482077,10.322464,0.097257994,0.8389733,59629.887
5.75,1.0,-7.3640428,-0.55270326,0.4977769,0.97066575,197.72978
16.32,4.3,4.3265443,5.1008635,0.5810819,0.6895129,50.24069
22.75,3.25,-4.2118783,-3.4602492,0.24155705,2.0158174,196584.8
40.17,4.73,-6.3361726,7.6818852,0.1690254,0.9881486,488.7912
27.28,4.0,1.7302587,1.4317185,0.8595808,0.5132084,58.940865
12.03,1.5,-9.597849,3.0442193,0.058534924,0.5390395,279.53302
21.01,3.0,6.5788007,-5.226267,0.4706209,1.6651547,2287.214
12.46,1.5,-9.906091,6.0557265,0.115834,0.42800516,1604.5894
11.35,2.5,3.5563307,3.4490907,0.45705876,0.23756555,199.64516
15.38,3.0,-4.5998406,6.509231,0.97996235,0.061219435,42000.938
44.3,2.5,4.7038803,-3.1404378,0.42370635,2.0876904,386.38745
22.42,3.48,9.243771,-2.4051356,0.8571249,2.5077224,102.57834
20.92,4.08,-5.024937,11.519584,0.11731556,0.12796995,7490.4697
15.36,1.64,1.5231466,-5.3000793,0.27125207,0.40717718,15648.427
20.49,4.06,1.8408387,-0.6797485,0.40379274,0.192823,213.79419
25.21,4.29,1.4450381,5.684457,0.39981213,0.12318337,66.50688
18.24,3.76,-5.5383673,0.48862484,0.6713835,2.3012533,8611.695
14.31,4.0,9.05498,2.9147685,0.34471813,0.058558844,18.271688
14.0,3.0,-1.0574924,-1.9972452,0.7137669,3.936606,94.32598
