timestamp,id,rating,18_group,is_mi,fall_1,fall_2,fall_3,spring_1,spring_2,spring_3,is_first_time,percentile,17_group,blended,is_ml_student,is_first_place,is_last_place
2020-05-15 01:12:50.543,93ff79a51cd602f1dd3028ba2c129503,698,181.0,0.0,Язык SQL,Высокопроизводительные вычисления,Матричные вычисления,Дискретная оптимизация,Численные методы,Машинное обучение 2,Да,0.1838565022421524,0.0,,0.0,True,
2020-05-15 02:46:48.066,26b01b1c4cd5656bab18d24c548834fb,647,181.0,0.0,Высокопроизводительные вычисления,Безопасность компьютерных систем,Язык SQL,Дискретная оптимизация,Численные методы,Машинное обучение 2,Нет,0.4260089686098655,0.0,,0.0,,
2020-05-15 03:12:41.480,30f3653fc176d54e89ac3179c455c6dd,624,185.0,0.0,Безопасность компьютерных систем,Матричные вычисления,Моделирование временных рядов,Дискретная оптимизация,Машинное обучение 2,Численные методы,Да,0.5381165919282511,0.0,,0.0,,
2020-05-15 04:43:08.994,1528f0eaa027580820ccf0d92a53ad68,579,182.0,0.0,Statistical Learning Theory,Высокопроизводительные вычисления,Матричные вычисления,Дискретная оптимизация,Численные методы,Машинное обучение 2,Да,0.7443946188340806,0.0,,0.0,,
2020-05-15 07:47:17.197,496ea4f0d4abe264b1bb1b80eb3830c5,572,183.0,0.0,Высокопроизводительные вычисления,Безопасность компьютерных систем,Теория баз данных,Компьютерные сети,Дискретная оптимизация,Численные методы,Да,0.7802690582959642,0.0,,0.0,,
2020-05-15 09:10:18.558,d0d8ff53ed5b119f9056068e954256c6,591,187.0,0.0,Язык SQL,Statistical Learning Theory,Сбор и обработка данных с помощью краудсорсинга,Промышленное программирование на языке Java,Численные методы,Дискретная оптимизация,Да,0.6905829596412556,0.0,,0.0,,
2020-05-15 11:42:16.910,e4caca755ee0bdd711e18fb8084958b5,724,181.0,0.0,Statistical Learning Theory,Безопасность компьютерных систем,Моделирование временных рядов,Численные методы,Промышленное программирование на языке Java,Машинное обучение 2,Да,0.1031390134529148,0.0,,0.0,,
2020-05-15 12:11:43.252,8047c18b3c531c6f47931e0744f3e028,566,187.0,0.0,Язык SQL,Теория баз данных,Безопасность компьютерных систем,Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,Да,0.8026905829596412,0.0,,0.0,,
2020-05-15 13:21:40.913,e8b314842f176be9051d14a07cb156cb,618,181.0,0.0,Язык SQL,Теория баз данных,Матричные вычисления,Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,Да,0.5650224215246638,0.0,,0.0,,
2020-05-15 13:29:10.789,d6c079f1ff869c8c84fa3ed30bd67e0e,733,181.0,0.0,Теория баз данных,Высокопроизводительные вычисления,Сбор и обработка данных с помощью краудсорсинга,Дополнительные главы прикладной статистики,Анализ данных в бизнесе,Численные методы,Да,0.08520179372197312,0.0,,1.0,,
2020-05-15 13:46:31.518,57c331c5a1b473501d86dfd23421bb5c,623,186.0,0.0,Принятие решений в условиях риска и неопределённости,Моделирование временных рядов,Матричные вычисления,Анализ данных в бизнесе,Численные методы,Машинное обучение 2,Да,0.5426008968609866,0.0,,0.0,,
2020-05-15 14:52:24.210,3de75278c0cdb78bbe54267f65c67d25,563,187.0,0.0,Язык SQL,Теория баз данных,Сбор и обработка данных с помощью краудсорсинга,Промышленное программирование на языке Java,Системы баз данных,Анализ данных в бизнесе,Да,0.8116591928251121,0.0,,0.0,,
2020-05-15 16:13:05.416,77c7b37ee521df16ccff23ba50c893d4,735,183.0,0.0,Высокопроизводительные вычисления,Язык SQL,Безопасность компьютерных систем,Компьютерные сети,Промышленное программирование на языке Java,Машинное обучение 2,Да,0.07623318385650224,0.0,,0.0,,
2020-05-15 16:19:15.181,23484c24b8d551a189015750171974cd,734,183.0,0.0,Высокопроизводительные вычисления,Безопасность компьютерных систем,Теория баз данных,Компьютерные сети,Дискретная оптимизация,Машинное обучение 2,Да,0.08071748878923768,0.0,,0.0,,
2020-05-15 16:46:00.536,105209181e880d891f19de83b4b1478d,706,183.0,0.0,Безопасность компьютерных систем,Моделирование временных рядов,Принятие решений в условиях риска и неопределённости,Анализ данных в бизнесе,Дискретная оптимизация,Системы баз данных,Да,0.1524663677130045,0.0,,1.0,,
2020-05-15 16:53:27.904,80a0660d40d5e2f3e3b9bb8a4383db74,662,183.0,0.0,Statistical Learning Theory,Матричные вычисления,Моделирование временных рядов,Анализ данных в бизнесе,Дискретная оптимизация,Системы баз данных,Да,0.3542600896860987,0.0,,1.0,,
2020-05-15 16:58:06.959,64173586abab6f7a172946c8c74bde0d,630,181.0,0.0,Безопасность компьютерных систем,Высокопроизводительные вычисления,Язык SQL,Компьютерные сети,Промышленное программирование на языке Java,Дискретная оптимизация,Да,0.5022421524663677,0.0,,0.0,,
2020-05-15 17:33:08.592,4b019ecb89626c8752a1d962b63c8a4b,669,185.0,0.0,Язык SQL,Высокопроизводительные вычисления,Безопасность компьютерных систем,Компьютерные сети,Промышленное программирование на языке Java,Системы баз данных,Да,0.3183856502242153,0.0,,0.0,,
2020-05-15 19:44:33.132,af20596134e83f3ca61259b325aa9688,519,182.0,0.0,Statistical Learning Theory,Сбор и обработка данных с помощью краудсорсинга,Высокопроизводительные вычисления,Машинное обучение 2,Дополнительные главы прикладной статистики,Анализ данных в бизнесе,Да,0.9730941704035875,0.0,,0.0,,True
2020-05-15 21:34:32.550,86d929f6fd741e56e93cee5900298849,761,181.0,0.0,Сбор и обработка данных с помощью краудсорсинга,Сбор и обработка данных с помощью краудсорсинга,Сбор и обработка данных с помощью краудсорсинга,Дополнительные главы прикладной статистики,Дополнительные главы прикладной статистики,Дополнительные главы прикладной статистики,Да,0.008968609865470878,0.0,,0.0,True,
2020-05-15 21:55:16.699,f0f6f3881894172a0f04e79b554b49e6,673,181.0,0.0,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Принятие решений в условиях риска и неопределённости,Машинное обучение 2,Численные методы,Дополнительные главы прикладной статистики,Да,0.3004484304932735,0.0,,1.0,,
