ID,course1,course2
00b40fe7dbfd23e5daba765244509415,Матричные вычисления,-
014b72217e20370dab7acc48b20c47be,Statistical Learning Theory,-
01b072a0cdb45814fc4ab8ca3e621f0e,Анализ неструктурированных данных,???
044e038535ae5d2ff037150b77fdc6d1,Безопасность компьютерных систем,-
04b88fcbe5ba58aa8369c7de5e574de0,Безопасность компьютерных систем,-
04bcb5c9d23813ffa940e1febb27fadc,Теория баз данных,-
04f9a2dd035a040318ecd064959df3a0,Безопасность компьютерных систем,-
07b6ce7fd93bde95ce5fe14a5131a960,???,-
081eba3952cfc116e0e9b941d6a974a2,Матричные вычисления,-
085da16dd3062b4790c3dabdc08a51cf,???,-
0a3bf60d68e9bcb118ba4b472eabebc8,???,-
0c0cbdd1a309c1d1fd8993c4dc907bb5,???,???
0d85933f07516e8871e9415c1d95ddbe,Высокопроизводительные вычисления,-
0f114e98d9f732aa51db34f687db2655,Матричные вычисления,-
1021c681cf4b273ed4905d431e4c17ce,Сбор и обработка данных с помощью краудсорсинга,-
105209181e880d891f19de83b4b1478d,Безопасность компьютерных систем,-
1341f488fae5f1ccf164960fd6506cd0,Язык SQL,-
1386d00c9c8229c2be3c0956949ee122,Statistical Learning Theory,-
15163c0c088c0ba42e1c77c9f3eabc81,Глубинное обучение в обработке звука,-
1528f0eaa027580820ccf0d92a53ad68,Statistical Learning Theory,-
162cbdeec1b766ab857df93cdf9d65f4,Язык SQL,-
17676f1d09ba15d060a7352e4308661a,Матричные вычисления,-
180cf0e0dc7a6f88e76e3076cb761d26,???,-
1a45910254951a8a55dd65cf4dc24b6d,Анализ неструктурированных данных,Байесовские методы машинного обучения
1b7e1b30238f393811a2b48c6f6a060f,Высокопроизводительные вычисления,-
1bbbfae51794b83c769b634be8da7b8d,Анализ неструктурированных данных,-
1c1623a037bd523d687245e6060e6c5b,Теория баз данных,-
1c91e6c5375cf4a1cba48bdca79f7a78,Сбор и обработка данных с помощью краудсорсинга,-
1d30f1c70a51faa60f497fe959851731,Глубинное обучение в обработке звука,Анализ неструктурированных данных
1da702d51a0a1829bb1bc33011aec5f0,Statistical Learning Theory,Байесовские методы машинного обучения
1eafb63c510c305e325bff51d246adb1,Сбор и обработка данных с помощью краудсорсинга,-
1ed2386f4de225ae7aa6cfd5772d9c50,Моделирование временных рядов,-
1f53f6dabcd59889dd7486a7cac5c9f2,Язык SQL,-
1f63fc485d851236249263b91dc03d6b,Statistical Learning Theory,-
227347077a7d1d0544ddf5643b97cf8c,Матричные вычисления,-
22eda17f96bbf2d0fb857453e6101160,Анализ неструктурированных данных,-
23484c24b8d551a189015750171974cd,Высокопроизводительные вычисления,-
253bbe1a2021d0404712a1e4acd22939,Statistical Learning Theory,-
25a3ce0eea214df2aa6d25d395d594f0,Моделирование временных рядов,-
25bd5b6bb000f48b8276cbb942537386,Высокопроизводительные вычисления,-
2662600c2c37e11e62f6ee0b88452f22,Statistical Learning Theory,Сбор и обработка данных с помощью краудсорсинга
26b01b1c4cd5656bab18d24c548834fb,Высокопроизводительные вычисления,-
26e72efe2995eb032a25561b2bf78600,Высокопроизводительные вычисления,-
276e2ccf4903d4ddf856b20a2b08394e,Statistical Learning Theory,Байесовские методы машинного обучения
2826fc94cd575c8f7b0a2416506e70e5,Высокопроизводительные вычисления,-
28cd79966197dc97bafed62bc8c48bbd,Моделирование временных рядов,-
29d0fcf21c4db938fae688bb09078f8d,Анализ неструктурированных данных,Сбор и обработка данных с помощью краудсорсинга
2b0d7dd550bcca4c586cbb27d8478aa8,Матричные вычисления,-
2b844a1be49f4ed2d578fb50b752883b,Матричные вычисления,-
2ba0a356c95af4fe74272e708082086f,Statistical Learning Theory,-
2c0a8cb6662b9a0a0a5d2d1214442767,Глубинное обучение в обработке звука,Анализ неструктурированных данных
2ca6917be428f8b84f6f15cdcbea2143,Глубинное обучение в обработке звука,Анализ неструктурированных данных
2d23e58ee8e952b48da12adcb71f2db0,Глубинное обучение в обработке звука,Анализ неструктурированных данных
2e04f9bc8796f095ed7b9c7941df91a6,Анализ неструктурированных данных,Глубинное обучение в обработке звука
2f8a48924249d2231659183d7654ed33,Высокопроизводительные вычисления,-
308ec2ced0092de5474a1a8f4c0bfcfd,Высокопроизводительные вычисления,-
30f3653fc176d54e89ac3179c455c6dd,Матричные вычисления,-
31c9900033ce01dd1365a6b6a350c3bb,Глубинное обучение в обработке звука,Анализ неструктурированных данных
31e38f7596f83b72ebba1c6fc6b7a590,Высокопроизводительные вычисления,-
323f162a5cad5f11e84bf294dd73197e,???,-
32fea7beb180e7de64ad408013cc01ec,???,-
338374a0f16d72f8c9066ca658c1ee04,Анализ неструктурированных данных,-
348562c4a55053de25fdd4389b9f1181,Моделирование временных рядов,-
34f75b81eb7b1cc9e9e4ef5bfd7fa69a,???,-
39cd1820459fdbcc193f9bb0ddb74a58,Сбор и обработка данных с помощью краудсорсинга,Statistical Learning Theory
39e61b4b01ae9201a1e0f89e36e7882e,Высокопроизводительные вычисления,-
3a7326c9e355a67d3805824ca34c4bc5,Высокопроизводительные вычисления,Statistical Learning Theory
3d1f14bf03e6eee14d833c45ccff2283,Высокопроизводительные вычисления,-
3d67beeab64f7fe112a8d9e41efbe916,Безопасность компьютерных систем,-
3da8ee30604398faa671135cebe8f982,Statistical Learning Theory,-
3de75278c0cdb78bbe54267f65c67d25,Язык SQL,-
3e106aaef8b24dbb01319c73e14c2936,Безопасность компьютерных систем,-
3e88c8d53bcd73595d2bbcdd8c51c1bf,Байесовские методы машинного обучения,Сбор и обработка данных с помощью краудсорсинга
3eb1a783e55b0dd8bd2fa69eeeeecd4e,Высокопроизводительные вычисления,-
40b18d40197e3db66312a026e06b8ff1,???,-
425c2a90f447620c9a1868e92f0a7af6,Сбор и обработка данных с помощью краудсорсинга,-
