V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
x,x,x,x,o,o,x,o,o,positive
x,x,x,x,o,o,o,x,o,positive
x,x,x,x,o,o,o,o,x,positive
x,x,x,x,o,o,o,b,b,positive
x,x,x,x,o,o,b,o,b,positive
x,x,x,x,o,o,b,b,o,positive
x,x,x,x,o,b,o,o,b,positive
x,x,x,x,o,b,o,b,o,positive
x,x,x,x,o,b,b,o,o,positive
x,x,x,x,b,o,o,o,b,positive
x,x,x,x,b,o,o,b,o,positive
x,x,x,x,b,o,b,o,o,positive
x,x,x,o,x,o,x,o,o,positive
x,x,x,o,x,o,o,x,o,positive
x,x,x,o,x,o,o,o,x,positive
x,x,x,o,x,o,o,b,b,positive
x,x,x,o,x,o,b,o,b,positive
x,x,x,o,x,o,b,b,o,positive
x,x,x,o,x,b,o,o,b,positive
x,x,x,o,x,b,o,b,o,positive
x,x,x,o,x,b,b,o,o,positive
x,x,x,o,o,x,x,o,o,positive
x,x,x,o,o,x,o,x,o,positive
x,x,x,o,o,x,o,o,x,positive
x,x,x,o,o,x,o,b,b,positive
x,x,x,o,o,x,b,o,b,positive
x,x,x,o,o,x,b,b,o,positive
x,x,x,o,o,b,x,o,b,positive
x,x,x,o,o,b,x,b,o,positive
x,x,x,o,o,b,o,x,b,positive
x,x,x,o,o,b,o,b,x,positive
x,x,x,o,o,b,b,x,o,positive
x,x,x,o,o,b,b,o,x,positive
x,x,x,o,o,b,b,b,b,positive
x,x,x,o,b,x,o,o,b,positive
x,x,x,o,b,x,o,b,o,positive
x,x,x,o,b,x,b,o,o,positive
x,x,x,o,b,o,x,o,b,positive
x,x,x,o,b,o,x,b,o,positive
x,x,x,o,b,o,o,x,b,positive
x,x,x,o,b,o,o,b,x,positive
x,x,x,o,b,o,b,x,o,positive
x,x,x,o,b,o,b,o,x,positive
x,x,x,o,b,o,b,b,b,positive
x,x,x,o,b,b,x,o,o,positive
x,x,x,o,b,b,o,x,o,positive
x,x,x,o,b,b,o,o,x,positive
x,x,x,o,b,b,o,b,b,positive
x,x,x,o,b,b,b,o,b,positive
x,x,x,o,b,b,b,b,o,positive
x,x,x,b,x,o,o,o,b,positive
x,x,x,b,x,o,o,b,o,positive
x,x,x,b,x,o,b,o,o,positive
x,x,x,b,o,x,o,o,b,positive
x,x,x,b,o,x,o,b,o,positive
x,x,x,b,o,x,b,o,o,positive
x,x,x,b,o,o,x,o,b,positive
x,x,x,b,o,o,x,b,o,positive
x,x,x,b,o,o,o,x,b,positive
x,x,x,b,o,o,o,b,x,positive
x,x,x,b,o,o,b,x,o,positive
x,x,x,b,o,o,b,o,x,positive
x,x,x,b,o,o,b,b,b,positive
x,x,x,b,o,b,x,o,o,positive
x,x,x,b,o,b,o,x,o,positive
x,x,x,b,o,b,o,o,x,positive
x,x,x,b,o,b,o,b,b,positive
x,x,x,b,o,b,b,o,b,positive
x,x,x,b,o,b,b,b,o,positive
x,x,x,b,b,o,x,o,o,positive
x,x,x,b,b,o,o,x,o,positive
x,x,x,b,b,o,o,o,x,positive
x,x,x,b,b,o,o,b,b,positive
x,x,x,b,b,o,b,o,b,positive
x,x,x,b,b,o,b,b,o,positive
x,x,x,b,b,b,o,o,b,positive
x,x,x,b,b,b,o,b,o,positive
x,x,x,b,b,b,b,o,o,positive
x,x,o,x,x,o,o,o,x,positive
x,x,o,x,o,x,x,o,o,positive
x,x,o,x,o,o,x,o,x,positive
x,x,o,x,o,o,x,b,b,positive
x,x,o,x,o,b,x,o,b,positive
x,x,o,x,o,b,x,b,o,positive
x,x,o,x,b,o,x,o,b,positive
x,x,o,x,b,b,x,o,o,positive
x,x,o,o,x,x,o,x,o,positive
x,x,o,o,x,x,o,o,x,positive
x,x,o,o,x,o,x,o,x,positive
x,x,o,o,x,o,o,x,x,positive
x,x,o,o,x,o,b,x,b,positive
x,x,o,o,x,o,b,b,x,positive
x,x,o,o,x,b,o,x,b,positive
x,x,o,o,x,b,o,b,x,positive
x,x,o,o,x,b,b,x,o,positive
x,x,o,o,x,b,b,o,x,positive
x,x,o,b,x,o,o,x,b,positive
x,x,o,b,x,o,o,b,x,positive
x,x,o,b,x,o,b,o,x,positive
x,x,o,b,x,b,o,x,o,positive
x,x,o,b,x,b,o,o,x,positive
x,x,b,x,o,o,x,o,b,positive
x,x,b,x,o,o,x,b,o,positive
x,x,b,x,o,b,x,o,o,positive
x,x,b,x,b,o,x,o,o,positive
x,x,b,o,x,o,o,x,b,positive
x,x,b,o,x,o,o,b,x,positive
x,x,b,o,x,o,b,x,o,positive
x,x,b,o,x,o,b,o,x,positive
x,x,b,o,x,b,o,x,o,positive
x,x,b,o,x,b,o,o,x,positive
x,x,b,b,x,o,o,x,o,positive
x,x,b,b,x,o,o,o,x,positive
x,o,x,x,x,o,x,o,o,positive
x,o,x,x,x,o,o,o,x,positive
x,o,x,x,o,o,x,x,o,positive
x,o,x,x,o,o,x,b,b,positive
x,o,x,x,o,b,x,b,o,positive
x,o,x,x,b,o,x,o,b,positive
x,o,x,x,b,o,x,b,o,positive
x,o,x,x,b,b,x,o,o,positive
x,o,x,o,x,x,x,o,o,positive
x,o,x,o,x,x,o,o,x,positive
x,o,x,o,x,o,x,x,o,positive
x,o,x,o,x,o,x,o,x,positive
x,o,x,o,x,o,x,b,b,positive
x,o,x,o,x,o,o,x,x,positive
x,o,x,o,x,o,b,b,x,positive
x,o,x,o,x,b,x,o,b,positive
x,o,x,o,x,b,x,b,o,positive
x,o,x,o,x,b,o,b,x,positive
x,o,x,o,x,b,b,o,x,positive
x,o,x,o,o,x,o,x,x,positive
x,o,x,o,o,x,b,b,x,positive
x,o,x,o,b,x,o,b,x,positive
x,o,x,o,b,x,b,o,x,positive
x,o,x,b,x,o,x,o,b,positive
x,o,x,b,x,o,x,b,o,positive
x,o,x,b,x,o,o,b,x,positive
x,o,x,b,x,o,b,o,x,positive
x,o,x,b,x,b,x,o,o,positive
x,o,x,b,x,b,o,o,x,positive
x,o,x,b,o,x,o,b,x,positive
x,o,x,b,b,x,o,o,x,positive
x,o,o,x,x,x,x,o,o,positive
x,o,o,x,x,x,o,x,o,positive
x,o,o,x,x,x,o,o,x,positive
x,o,o,x,x,x,o,b,b,positive
x,o,o,x,x,x,b,o,b,positive
x,o,o,x,x,x,b,b,o,positive
x,o,o,x,x,o,x,o,x,positive
x,o,o,x,x,o,x,b,b,positive
x,o,o,x,x,o,o,x,x,positive
x,o,o,x,x,o,b,b,x,positive
x,o,o,x,x,b,x,o,b,positive
x,o,o,x,x,b,x,b,o,positive
x,o,o,x,x,b,o,b,x,positive
x,o,o,x,x,b,b,o,x,positive
x,o,o,x,o,x,x,x,o,positive
x,o,o,x,o,x,x,b,b,positive
x,o,o,x,o,o,x,x,x,positive
x,o,o,x,o,b,x,x,b,positive
x,o,o,x,o,b,x,b,x,positive
x,o,o,x,b,x,x,o,b,positive
x,o,o,x,b,x,x,b,o,positive
x,o,o,x,b,o,x,x,b,positive
x,o,o,x,b,o,x,b,x,positive
x,o,o,x,b,b,x,x,o,positive
x,o,o,x,b,b,x,o,x,positive
x,o,o,x,b,b,x,b,b,positive
x,o,o,o,x,x,x,o,x,positive
x,o,o,o,x,x,o,x,x,positive
x,o,o,o,x,x,b,b,x,positive
x,o,o,o,x,o,x,x,x,positive
x,o,o,o,x,b,x,b,x,positive
x,o,o,o,x,b,b,x,x,positive
x,o,o,o,o,x,x,x,x,positive
x,o,o,o,b,b,x,x,x,positive
x,o,o,b,x,x,o,b,x,positive
x,o,o,b,x,x,b,o,x,positive
x,o,o,b,x,o,x,b,x,positive
x,o,o,b,x,o,b,x,x,positive
x,o,o,b,x,b,x,o,x,positive
x,o,o,b,x,b,o,x,x,positive
x,o,o,b,x,b,b,b,x,positive
x,o,o,b,o,b,x,x,x,positive
x,o,o,b,b,o,x,x,x,positive
x,o,b,x,x,x,o,o,b,positive
x,o,b,x,x,x,o,b,o,positive
x,o,b,x,x,x,b,o,o,positive
x,o,b,x,x,o,x,o,b,positive
x,o,b,x,x,o,x,b,o,positive
x,o,b,x,x,o,o,b,x,positive
x,o,b,x,x,o,b,o,x,positive
x,o,b,x,x,b,x,o,o,positive
x,o,b,x,x,b,o,o,x,positive
x,o,b,x,o,x,x,b,o,positive
x,o,b,x,o,o,x,x,b,positive
x,o,b,x,o,o,x,b,x,positive
x,o,b,x,o,b,x,x,o,positive
x,o,b,x,o,b,x,b,b,positive
x,o,b,x,b,x,x,o,o,positive
x,o,b,x,b,o,x,x,o,positive
x,o,b,x,b,o,x,o,x,positive
x,o,b,x,b,o,x,b,b,positive
x,o,b,x,b,b,x,o,b,positive
x,o,b,x,b,b,x,b,o,positive
x,o,b,o,x,x,o,b,x,positive
x,o,b,o,x,x,b,o,x,positive
x,o,b,o,x,o,x,b,x,positive
x,o,b,o,x,o,b,x,x,positive
x,o,b,o,x,b,x,o,x,positive
x,o,b,o,x,b,o,x,x,positive
x,o,b,o,x,b,b,b,x,positive
x,o,b,o,o,b,x,x,x,positive
x,o,b,o,b,o,x,x,x,positive
x,o,b,b,x,x,o,o,x,positive
x,o,b,b,x,o,x,o,x,positive
x,o,b,b,x,o,o,x,x,positive
x,o,b,b,x,o,b,b,x,positive
x,o,b,b,x,b,o,b,x,positive
x,o,b,b,x,b,b,o,x,positive
x,o,b,b,o,o,x,x,x,positive
x,b,x,x,o,o,x,o,b,positive
x,b,x,x,o,o,x,b,o,positive
x,b,x,x,o,b,x,o,o,positive
x,b,x,x,b,o,x,o,o,positive
x,b,x,o,x,o,x,o,b,positive
x,b,x,o,x,o,x,b,o,positive
x,b,x,o,x,o,o,b,x,positive
x,b,x,o,x,o,b,o,x,positive
x,b,x,o,x,b,x,o,o,positive
x,b,x,o,x,b,o,o,x,positive
x,b,x,o,o,x,o,b,x,positive
x,b,x,o,o,x,b,o,x,positive
x,b,x,o,b,x,o,o,x,positive
x,b,x,b,x,o,x,o,o,positive
x,b,x,b,x,o,o,o,x,positive
x,b,x,b,o,x,o,o,x,positive
x,b,o,x,x,x,o,o,b,positive
x,b,o,x,x,x,o,b,o,positive
x,b,o,x,x,x,b,o,o,positive
x,b,o,x,x,o,x,o,b,positive
x,b,o,x,x,o,o,b,x,positive
x,b,o,x,x,o,b,o,x,positive
x,b,o,x,x,b,x,o,o,positive
x,b,o,x,x,b,o,o,x,positive
x,b,o,x,o,x,x,o,b,positive
x,b,o,x,o,x,x,b,o,positive
x,b,o,x,o,o,x,x,b,positive
x,b,o,x,o,o,x,b,x,positive
x,b,o,x,o,b,x,x,o,positive
x,b,o,x,o,b,x,o,x,positive
x,b,o,x,o,b,x,b,b,positive
x,b,o,x,b,x,x,o,o,positive
x,b,o,x,b,o,x,o,x,positive
x,b,o,x,b,o,x,b,b,positive
x,b,o,x,b,b,x,o,b,positive
x,b,o,x,b,b,x,b,o,positive
x,b,o,o,x,x,o,b,x,positive
x,b,o,o,x,x,b,o,x,positive
x,b,o,o,x,o,x,b,x,positive
x,b,o,o,x,o,b,x,x,positive
x,b,o,o,x,b,x,o,x,positive
x,b,o,o,x,b,o,x,x,positive
x,b,o,o,x,b,b,b,x,positive
x,b,o,o,o,b,x,x,x,positive
x,b,o,o,b,o,x,x,x,positive
x,b,o,b,x,x,o,o,x,positive
x,b,o,b,x,o,x,o,x,positive
x,b,o,b,x,o,o,x,x,positive
x,b,o,b,x,o,b,b,x,positive
x,b,o,b,x,b,o,b,x,positive
x,b,o,b,x,b,b,o,x,positive
x,b,o,b,o,o,x,x,x,positive
x,b,b,x,x,o,x,o,o,positive
x,b,b,x,x,o,o,o,x,positive
x,b,b,x,o,x,x,o,o,positive
x,b,b,x,o,o,x,x,o,positive
x,b,b,x,o,o,x,o,x,positive
x,b,b,x,o,o,x,b,b,positive
x,b,b,x,o,b,x,o,b,positive
x,b,b,x,o,b,x,b,o,positive
x,b,b,x,b,o,x,o,b,positive
x,b,b,x,b,o,x,b,o,positive
x,b,b,x,b,b,x,o,o,positive
x,b,b,o,x,x,o,o,x,positive
x,b,b,o,x,o,x,o,x,positive
x,b,b,o,x,o,o,x,x,positive
x,b,b,o,x,o,b,b,x,positive
x,b,b,o,x,b,o,b,x,positive
x,b,b,o,x,b,b,o,x,positive
x,b,b,b,x,o,o,b,x,positive
x,b,b,b,x,o,b,o,x,positive
x,b,b,b,x,b,o,o,x,positive
o,x,x,x,x,o,x,o,o,positive
o,x,x,x,x,o,o,x,o,positive
o,x,x,x,o,x,o,o,x,positive
o,x,x,o,x,x,x,o,o,positive
o,x,x,o,x,o,x,x,o,positive
o,x,x,o,x,o,x,o,x,positive
o,x,x,o,x,o,x,b,b,positive
o,x,x,o,x,o,b,x,b,positive
o,x,x,o,x,b,x,o,b,positive
o,x,x,o,x,b,x,b,o,positive
o,x,x,o,x,b,b,x,o,positive
o,x,x,o,o,x,x,o,x,positive
o,x,x,o,o,x,b,b,x,positive
o,x,x,o,b,x,b,o,x,positive
o,x,x,b,x,o,x,o,b,positive
o,x,x,b,x,o,x,b,o,positive
o,x,x,b,x,o,o,x,b,positive
o,x,x,b,x,o,b,x,o,positive
o,x,x,b,x,b,x,o,o,positive
o,x,x,b,x,b,o,x,o,positive
o,x,x,b,o,x,o,b,x,positive
o,x,x,b,o,x,b,o,x,positive
o,x,x,b,b,x,o,o,x,positive
o,x,o,x,x,x,x,o,o,positive
o,x,o,x,x,x,o,x,o,positive
o,x,o,x,x,x,o,o,x,positive
o,x,o,x,x,x,o,b,b,positive
o,x,o,x,x,x,b,o,b,positive
o,x,o,x,x,x,b,b,o,positive
o,x,o,x,x,o,o,x,x,positive
o,x,o,x,x,o,b,x,b,positive
o,x,o,x,x,b,o,x,b,positive
o,x,o,x,x,b,b,x,o,positive
o,x,o,x,o,o,x,x,x,positive
o,x,o,o,x,x,x,x,o,positive
o,x,o,o,x,x,b,x,b,positive
o,x,o,o,x,o,x,x,x,positive
o,x,o,o,x,b,x,x,b,positive
o,x,o,o,x,b,b,x,x,positive
o,x,o,o,o,x,x,x,x,positive
o,x,o,o,b,b,x,x,x,positive
o,x,o,b,x,x,o,x,b,positive
o,x,o,b,x,x,b,x,o,positive
o,x,o,b,x,o,x,x,b,positive
o,x,o,b,x,o,b,x,x,positive
o,x,o,b,x,b,x,x,o,positive
o,x,o,b,x,b,o,x,x,positive
o,x,o,b,x,b,b,x,b,positive
o,x,o,b,o,b,x,x,x,positive
o,x,o,b,b,o,x,x,x,positive
o,x,b,x,x,x,o,o,b,positive
o,x,b,x,x,x,o,b,o,positive
o,x,b,x,x,x,b,o,o,positive
o,x,b,x,x,o,o,x,b,positive
o,x,b,x,x,o,b,x,o,positive
o,x,b,x,x,b,o,x,o,positive
o,x,b,o,x,x,b,x,o,positive
o,x,b,o,x,o,x,x,b,positive
o,x,b,o,x,o,b,x,x,positive
o,x,b,o,x,b,x,x,o,positive
o,x,b,o,x,b,b,x,b,positive
o,x,b,o,o,b,x,x,x,positive
o,x,b,o,b,o,x,x,x,positive
o,x,b,b,x,x,o,x,o,positive
o,x,b,b,x,o,x,x,o,positive
o,x,b,b,x,o,o,x,x,positive
o,x,b,b,x,o,b,x,b,positive
o,x,b,b,x,b,o,x,b,positive
o,x,b,b,x,b,b,x,o,positive
o,x,b,b,o,o,x,x,x,positive
o,o,x,x,x,x,x,o,o,positive
o,o,x,x,x,x,o,x,o,positive
o,o,x,x,x,x,o,o,x,positive
o,o,x,x,x,x,o,b,b,positive
o,o,x,x,x,x,b,o,b,positive
o,o,x,x,x,x,b,b,o,positive
o,o,x,x,x,o,x,x,o,positive
o,o,x,x,x,o,x,o,x,positive
o,o,x,x,x,o,x,b,b,positive
o,o,x,x,x,b,x,o,b,positive
o,o,x,x,x,b,x,b,o,positive
o,o,x,x,o,x,o,x,x,positive
o,o,x,x,o,x,b,b,x,positive
o,o,x,x,o,o,x,x,x,positive
o,o,x,x,b,x,o,b,x,positive
o,o,x,x,b,x,b,o,x,positive
o,o,x,o,x,x,x,x,o,positive
o,o,x,o,x,x,x,o,x,positive
o,o,x,o,x,x,x,b,b,positive
o,o,x,o,x,x,b,b,x,positive
o,o,x,o,x,o,x,x,x,positive
o,o,x,o,x,b,x,x,b,positive
o,o,x,o,x,b,x,b,x,positive
o,o,x,o,o,x,x,x,x,positive
o,o,x,o,b,x,x,b,x,positive
o,o,x,o,b,x,b,x,x,positive
o,o,x,o,b,b,x,x,x,positive
o,o,x,b,x,x,x,o,b,positive
o,o,x,b,x,x,x,b,o,positive
o,o,x,b,x,x,o,b,x,positive
o,o,x,b,x,x,b,o,x,positive
o,o,x,b,x,o,x,x,b,positive
o,o,x,b,x,o,x,b,x,positive
o,o,x,b,x,b,x,x,o,positive
o,o,x,b,x,b,x,o,x,positive
o,o,x,b,x,b,x,b,b,positive
o,o,x,b,o,x,x,b,x,positive
o,o,x,b,o,x,b,x,x,positive
o,o,x,b,o,b,x,x,x,positive
o,o,x,b,b,x,x,o,x,positive
o,o,x,b,b,x,o,x,x,positive
o,o,x,b,b,x,b,b,x,positive
o,o,x,b,b,o,x,x,x,positive
o,o,b,x,x,x,x,o,b,positive
o,o,b,x,x,x,x,b,o,positive
o,o,b,x,x,x,o,x,b,positive
o,o,b,x,x,x,o,b,x,positive
o,o,b,x,x,x,b,x,o,positive
o,o,b,x,x,x,b,o,x,positive
o,o,b,x,x,x,b,b,b,positive
o,o,b,x,o,b,x,x,x,positive
o,o,b,x,b,o,x,x,x,positive
o,o,b,o,x,b,x,x,x,positive
o,o,b,o,b,x,x,x,x,positive
o,o,b,b,x,o,x,x,x,positive
o,o,b,b,o,x,x,x,x,positive
o,o,b,b,b,b,x,x,x,positive
o,b,x,x,x,x,o,o,b,positive
o,b,x,x,x,x,o,b,o,positive
o,b,x,x,x,x,b,o,o,positive
o,b,x,x,x,o,x,o,b,positive
o,b,x,x,x,o,x,b,o,positive
o,b,x,x,x,b,x,o,o,positive
o,b,x,x,o,x,o,b,x,positive
o,b,x,x,o,x,b,o,x,positive
o,b,x,x,b,x,o,o,x,positive
o,b,x,o,x,x,x,o,b,positive
o,b,x,o,x,x,x,b,o,positive
o,b,x,o,x,x,b,o,x,positive
o,b,x,o,x,o,x,x,b,positive
o,b,x,o,x,o,x,b,x,positive
o,b,x,o,x,b,x,x,o,positive
o,b,x,o,x,b,x,o,x,positive
o,b,x,o,x,b,x,b,b,positive
o,b,x,o,o,x,x,b,x,positive
o,b,x,o,o,x,b,x,x,positive
o,b,x,o,o,b,x,x,x,positive
o,b,x,o,b,x,x,o,x,positive
o,b,x,o,b,x,b,b,x,positive
o,b,x,o,b,o,x,x,x,positive
o,b,x,b,x,x,x,o,o,positive
o,b,x,b,x,x,o,o,x,positive
o,b,x,b,x,o,x,x,o,positive
o,b,x,b,x,o,x,o,x,positive
o,b,x,b,x,o,x,b,b,positive
o,b,x,b,x,b,x,o,b,positive
