id,name,artists
0,What There Is,['a-ha']
1,I'll Play The Blues For You,['Albert King']
2,Breaking Up Somebody's Home,['Albert King']
3,Imma Be,['Black Eyed Peas']
4,Boom Boom Pow,['Black Eyed Peas']
5,Rock That Body,['Black Eyed Peas']
6,Meet Me Halfway,['Black Eyed Peas']
7,I Gotta Feeling,['Black Eyed Peas']
8,Missing You,['Black Eyed Peas']
9,Fix You,['Coldplay']
10,Tutti Frutti,['Little Richard']
11,Long Tall Sally,['Little Richard']
12,"Good Golly, Miss Molly",['Little Richard']
13,Proud Mary,['Creedence Clearwater Revival']
14,Green River,['Creedence Clearwater Revival']
15,Hey Tonight,['Creedence Clearwater Revival']
16,Travelin' Band,['Creedence Clearwater Revival']
17,Lookin' Out My Back Door,['Creedence Clearwater Revival']
18,Have You Ever Seen The Rain,['Creedence Clearwater Revival']
19,Bad Moon Rising,['Creedence Clearwater Revival']
20,I Put A Spell On You,['Creedence Clearwater Revival']
21,Lodi,['Creedence Clearwater Revival']
22,Down On The Corner,['Creedence Clearwater Revival']
23,Fortunate Son,['Creedence Clearwater Revival']
24,Up Around The Bend,['Creedence Clearwater Revival']
25,Run Through The Jungle,['Creedence Clearwater Revival']
26,La Camisa Negra,['Juanes']
27,La Camisa Negra,['Juanes']
28,My Cherie Amour,['Stevie Wonder']
29,Hello,['Lionel Richie']
30,"Say You, Say Me",['Lionel Richie']
31,My Mom,['Eminem']
32,We Made You,['Eminem']
33,Beautiful,['Eminem']
34,Must Be The Ganja,['Eminem']
35,Fresh Blood,['Eels']
36,Magnificent,"['U2', 'Andy Holt']"
37,The Way I Are,"['Timbaland', 'Keri Hilson', 'D.O.E.']"
38,Kalimba De Luna,['Dalida']
39,All We Are,['Warlock']
40,LoveGame,['Lady Gaga']
41,The Wind,['Cat Stevens']
42,Bitterblue,['Cat Stevens']
43,Bang Bang,"[""K'NAAN"", 'Adam Levine']"
44,Wavin'  Flag,"[""K'NAAN""]"
45,One Love / People Get Ready,"['Bob Marley', 'The Wailers']"
46,Stop,"['Sam Brown', 'Pete Brown']"
47,Father And Son,['Cat Stevens']
48,Wild World,['Cat Stevens']
49,Number 1,"['Tinchy Stryder', 'N-Dubz']"
50,World Go Round,"['Busta Rhymes', 'Estelle']"
51,Magnificent,"['U2', 'Fred Falke']"
52,Running To The Edge Of The World,['Marilyn Manson']
53,I'll Be There For You,['Bon Jovi']
54,Bad Medicine,['Bon Jovi']
55,A Little Faster,['There For Tomorrow']
56,Tonight,['Yuksek']
57,I Want You Back,['The Jackson 5']
58,Wild Thing,['The Troggs']
59,Fallin' Apart,['The All-American Rejects']
60,Gives You Hell,['The All-American Rejects']
61,Ain't No Mountain High Enough,"['Marvin Gaye', 'Tammi Terrell']"
62,War,['Edwin Starr']
63,When I Grow Up,['The Pussycat Dolls']
64,Whatcha Think About That,"['The Pussycat Dolls', 'Missy  Elliott']"
65,Jai Ho! (You Are My Destiny),"['A.R.Rahman', 'The Pussycat Dolls', 'Nicole Scherzinger']"
66,Hush Hush; Hush Hush,['The Pussycat Dolls']
67,I Hate This Part,['The Pussycat Dolls']
68,Satellites,['September']
69,Cry For You,['September']
70,Your Heart Is As Black As Night,['Melody Gardot']
71,Baby I'm A Fool,['Melody Gardot']
72,Naive,['The Kooks']
73,The Greatest,['Cat Power']
74,Stronger,['Kanye West']
75,Mesmerize,"['Ja Rule', 'Ashanti']"
76,Make Me Better,"['Fabolous', 'Ne-Yo']"
77,This D.J.,"['Warren G', 'O.G.L.B.']"
78,The Look Of Love,['Dusty Springfield']
79,Dance With Somebody,['Mando Diao']
80,High Heels,['Mando Diao']
81,Ain't No Mountain High Enough,"['Marvin Gaye', 'Tammi Terrell']"
82,Let's Get It On,['Marvin Gaye']
83,To Know You Is To Love You,['B.B. King']
84,Paying The Cost To Be The Boss,['B.B. King']
85,Never Trust A Woman,['B.B. King']
86,Endless Love,"['Lionel Richie', 'Diana Ross']"
87,Love Will Conquer All,['Lionel Richie']
88,Blanco,"['Pitbull', 'Pharrell Williams']"
89,Addicted To Love,"['Robert Palmer', 'Eric ""E.T."" Thorngren']"
90,Delilah,['Tom Jones']
91,She's A Lady,['Tom Jones']
92,Till,['Tom Jones']
93,Planet Caravan,['Black Sabbath']
94,Iron Man,['Black Sabbath']
95,Paranoid,['Black Sabbath']
96,Electric Funeral,['Black Sabbath']
97,Heads Will Roll,['Yeah Yeah Yeahs']
98,The Wizard,['Black Sabbath']
99,N.I.B.,['Black Sabbath']
100,Heartbreaker,['will.i.am']
101,Let It Rock,"['Kevin Rudolf', 'Lil Wayne']"
102,Just Dance,"['Lady Gaga', ""Colby O'Donis""]"
103,Right Now (Na Na Na),['Akon']
104,American Boy,['Estelle']
105,Put On,"['Young Jeezy', 'Kanye West']"
106,Fergalicious,"['Fergie', 'will.i.am']"
107,Love Lockdown,['Kanye West']
108,I Wanna Get Funky,['Albert King']
109,Rehab,['Rihanna']
110,Travelin' Man,['Albert King']
111,Miss Independent,['Ne-Yo']
112,Ms. Jackson,['OutKast']
113,Just A Lil Bit,['50 Cent']
114,Can't Help But Wait,['Trey Songz']
115,Woman In Chains,"['Tears For Fears', 'Oleta Adams']"
116,Shout,['Tears For Fears']
117,Everybody Wants To Rule The World,['Tears For Fears']
118,Pages,['3 Doors Down']
119,Voodoo,['Black Sabbath']
120,Blanco,"['Pitbull', 'Pharrell Williams']"
121,Krazy,"['Pitbull', 'Lil Jon']"
122,Sabbath Bloody Sabbath,['Black Sabbath']
123,Candyman,['Siouxsie And The Banshees']
124,Pleasure To Kill,['Kreator']
125,Children Of The Sea,['Black Sabbath']
126,Die Young,['Black Sabbath']
127,Lady Evil,['Black Sabbath']
128,Heaven And Hell,['Black Sabbath']
129,Before You Accuse Me,['Creedence Clearwater Revival']
130,Midnight Special,['Creedence Clearwater Revival']
131,Cotton Fields,['Creedence Clearwater Revival']
132,My Baby Left Me,['Creedence Clearwater Revival']
133,What These Bitches Want,"['DMX', 'Sisqo']"
134,Need A Boss,"['Shareefa', 'Ludacris']"
135,You Know My Name,['Chris Cornell']
136,I Believe I Can Fly,['Ronan Keating']
137,Umbrella,"['Rihanna', 'Jay-Z']"
138,Da Rockwilder,"['Method Man', 'Redman']"
139,Let Your Loss Be Your Lesson,"['Robert Plant', 'Alison Krauss']"
140,"Gone, Gone, Gone (Done Moved On)","['Robert Plant', 'Alison Krauss']"
141,Fortune Teller,"['Robert Plant', 'Alison Krauss']"
142,Nothin',"['Robert Plant', 'Alison Krauss']"
143,Word Up!,['Cameo']
144,Roll Over Beethoven,['Chuck Berry']
145,(We're Gonna) Rock Around The Clock,['Bill Haley & His Comets']
146,Let's Dance,['David Bowie']
147,The Letter,['The Box Tops']
148,Hi Ho Silver Lining,['Jeff Beck']
149,Wouldn't It Be Nice,['The Beach Boys']
150,Nights in White Satin,['The Moody Blues']
151,The Prowl,['Dan Auerbach']
152,Hollywood Whore,['Papa Roach']
